ParishID,Saturday,Sunday,Monday,Tuesday,Wednesday,Thursday,Friday
0,NA,NA,NA,NA,NA,NA,NA
1,NA,NA,NA,NA,NA,NA,NA
2,NA,NA,NA,NA,NA,NA,NA
3,3:00 PM - 4:00 PM (Saturday) or by appointment,NA,NA,NA,NA,NA,NA
4,Saturdays 4:30 PM to 5:15 PM and/or by appointment,NA,NA,NA,NA,NA,NA
5,NA,NA,NA,NA,NA,NA,NA
6,1:00 PM - 2:00 PM,NA,NA,NA,NA,NA,NA
7,4:00 PM - 5:00 PM,NA,NA,NA,NA,NA,NA
8,"Saturdays: 1:00 PM, or by appointment",NA,NA,NA,NA,NA,NA
9,NA,NA,NA,NA,NA,NA,NA
10,11:00 AM - 12:00 PM,NA,NA,NA,NA,NA,NA
11,4:00 PM - 4:30 PM,NA,11:30 AM - 11:50 AM,11:30 AM - 11:50 AM,11:30 AM - 11:50 AM,11:30 AM - 11:50 AM,11:30 AM - 11:50 AM
12,Saturday 4:30 PM or By Appointment,NA,NA,NA,NA,NA,NA
13,12:00 PM to 1:00 PM,NA,NA,NA,NA,NA,NA
14,NA,NA,NA,NA,NA,NA,NA
15,NA,NA,NA,NA,NA,NA,NA
16,4:30 PM – 5:00 PM,NA,NA,NA,NA,NA,NA
17,11:00 AM - 12:00 PM,NA,NA,NA,NA,12:30 PM,7:00 AM
18,3:00 PM - 5:00 PM,NA,NA,NA,NA,NA,NA
19,4:00 PM - 5:00 PM,7:30 AM - 8:15 AM,NA,NA,NA,NA,NA
20,NA,NA,6:30 PM,6:30 PM,6:30 PM,6:30 PM,6:30 PM
21,1:00 PM (until all are heard),NA,NA,NA,NA,NA,NA
22,NA,NA,NA,NA,NA,NA,NA
23,1:00 PM to 2:00 PM \u2013 Saturdays or Anytime by appointment,NA,NA,NA,NA,NA,NA
24,NA,NA,NA,NA,NA,NA,NA
25,Saturdays 3:30 PM - 4:30 PM,NA,NA,NA,NA,NA,NA
26,NA,NA,NA,NA,NA,NA,NA
27,"4:45 PM - 5:15 PM, 7:15 PM - 7:45 PM (Korean)",NA,9:00 AM - 9:30 AM,NA,NA,NA,NA
28,4:00 PM - 5:15 PM,NA,NA,NA,NA,6:00 PM - 6:50 PM,NA
29,NA,NA,NA,NA,NA,NA,NA
30,NA,NA,NA,NA,NA,NA,NA
31,Saturday: 4:00 to 4:30 PM,NA,NA,NA,NA,NA,NA
32,NA,NA,NA,NA,NA,NA,NA
33,NA,NA,NA,NA,NA,NA,NA
34,"Every Saturday, 4:00 PM - 4:15 PM in the Church",NA,NA,NA,NA,NA,NA
35,2:00 PM - 3:00 PM,NA,Following 8:00 AM Mass,Following 8:00 AM Mass,Following 8:00 AM Mass,Following 8:00 AM Mass,Following 8:00 AM Mass
36,Every Saturday 4:45 - 5:15 PM,NA,NA,NA,NA,NA,NA
37,5:00 PM to 6:00 PM,NA,6:00 PM to 6:45 PM,6:00 PM to 6:45 PM,6:00 PM to 6:45 PM in Portuguese,NA,NA
38,Saturdays from 1:00 PM - 2:00 PM,NA,NA,NA,NA,NA,NA
39,By appointment via the Parish Office,NA,NA,NA,NA,NA,NA
40,NA,NA,NA,NA,NA,NA,NA
41,NA,NA,NA,NA,NA,NA,NA
42,Saturdays from 3:30 PM to 4:30 PM,NA,NA,NA,NA,NA,NA
43,NA,NA,NA,NA,NA,NA,NA
44,Saturdays after 9 AM Mass in the Chapel or call the Parish Office for an appointment.,NA,NA,NA,NA,NA,NA
45,NA,NA,NA,NA,NA,NA,12:45 PM
46,Saturday: 9:00 AM - 10:00 AM,NA,NA,NA,NA,NA,NA
47,Saturday 4:00 PM - 5:00 PM,NA,NA,NA,NA,NA,NA
48,NA,NA,NA,NA,NA,NA,NA
49,"4:00 PM, 4:30 PM",NA,"9:00 AM, 9:30 AM","9:00 AM, 9:30 AM","9:00 AM, 9:30 AM","9:00 AM, 9:30 AM","9:00 AM, 9:30 AM"
50,NA,NA,NA,NA,NA,NA,NA
51,NA,NA,NA,NA,NA,NA,NA
52,NA,NA,NA,NA,NA,NA,NA
53,Every Saturday at 4:30 - 5:00 PM or by appointment,NA,NA,NA,NA,NA,NA
54,3:30 PM - 4:30 PM,NA,NA,NA,NA,NA,NA
55,Saturday at 4:00 PM or by personal request,NA,NA,NA,NA,NA,NA
56,4:00 PM - 4:30 PM,NA,NA,NA,NA,NA,NA
57,Saturday at 4:00 PM,NA,NA,NA,NA,NA,NA
58,NA,NA,NA,NA,NA,NA,NA
59,3:00 PM to 3:45 PM,NA,NA,NA,NA,NA,NA
60,9:00 AM - 12:00 PM,NA,4:00 PM - 4:45 PM,NA,5:30 PM - 7:00 PM,NA,4:00 PM - 4:45 PM
61,NA,NA,NA,NA,NA,NA,NA
62,Saturdays 1:00 PM - 2:00 PM,NA,NA,NA,NA,NA,NA
63,Saturday from 3:00 PM to 3:45 PM,NA,NA,NA,NA,NA,NA
64,4:00 PM - 4:45 PM,NA,NA,NA,NA,NA,NA
65,Saturday: 4:00 PM or by appointment,NA,NA,NA,NA,NA,NA
66,4:00 PM — 4:45 PM,NA,NA,NA,NA,NA,NA
67,3:30 PM - 4:15 PM,NA,NA,NA,NA,NA,NA
68,NA,NA,NA,NA,NA,NA,NA
69,NA,09:30 AM – 09:50 AM,NA,NA,NA,NA,NA
70,NA,NA,NA,NA,NA,NA,NA
71,NA,NA,NA,NA,NA,NA,NA
72,4:15 PM,NA,NA,NA,NA,NA,NA
73,NA,6:00 PM - 6:40 PM,NA,NA,NA,8:30 PM - 9:30 PM,9:00 AM - 10:00 AM
74,Every Saturday - 3:30 PM - 4:30 PM,NA,NA,NA,NA,NA,NA
75,NA,NA,NA,NA,NA,NA,NA
76,4:30 PM,NA,NA,NA,NA,NA,NA
77,4:00 PM,After 9:30 AM Mass,NA,NA,NA,NA,NA
78,NA,NA,NA,NA,NA,NA,NA
79,Saturdays from 4:00 PM \u2013 5:00 PM,NA,NA,NA,NA,NA,NA
80,4:00 PM - 4:30 PM,NA,NA,NA,NA,NA,NA
81,NA,NA,NA,NA,NA,NA,NA
82,5:00 PM Every day or by appointment,NA,NA,NA,NA,NA,NA
83,NA,NA,NA,NA,NA,NA,NA
84,4:30 PM - 5:00 PM,NA,NA,NA,NA,NA,NA
85,5:30 PM,NA,NA,NA,NA,NA,NA
86,NA,NA,"10:00 AM to 11:30 AM, 3:00 PM to 6:00 PM","10:00 AM to 11:30 AM, 3:00 PM to 6:00 PM",NA,"10:00 AM to 11:30 AM, 3:00 PM to 6:00 PM","10:00 AM to 11:30 AM, 3:00 PM to 6:00 PM"
87,NA,NA,NA,NA,NA,NA,NA
88,7:00 AM - 7:25 AM,"8:30 AM - 8:55 AM, 10:00 AM - 10:25 AM, 11:30 AM - 11:55 AM",7:00 AM - 7:25 AM,7:00 AM - 7:25 AM,7:00 AM - 7:25 AM,7:00 AM - 7:25 AM,7:00 AM - 7:25 AM
89,3:00 PM - 4:00 PM,9:00 AM - 10:00 AM,NA,NA,NA,NA,NA
90,NA,NA,NA,1:00 PM - 5:00 PM,1:00 PM - 5:00 PM,NA,NA
91,NA,NA,NA,NA,NA,NA,NA
92,"[""4:00 PM \u2013 4:45 PM"",""3:30 PM to 4:45 PM""]",NA,NA,NA,NA,NA,NA
93,4:00 PM,NA,NA,NA,NA,NA,NA
94,3:45 PM to 4:45 PM,NA,NA,NA,NA,NA,NA
95,4:00 PM - 4:45 PM,NA,NA,NA,NA,NA,NA
96,NA,NA,NA,NA,NA,NA,NA
97,NA,NA,NA,NA,NA,NA,NA
98,2:00 PM,NA,After the 8:00 AM Mass,After the 8:00 AM Mass,After the 8:00 AM Mass,After the 8:00 AM Mass,After the 8:00 AM Mass
99,4:00 PM - 4:45 PM,NA,NA,NA,NA,NA,NA
100,4:00 PM,12:00 PM,NA,NA,NA,NA,NA
101,"4:30 PM to 5:15 PM, 6:30 PM to 7:00 PM",NA,NA,NA,7:30 PM to 8:30 PM,NA,NA
102,5:00 PM Saturdays / by appointment,NA,NA,NA,NA,NA,NA
103,"Saturdays 4:00 to 4:45 PM, or by appointment at the rectory.",NA,NA,NA,NA,NA,NA
104,NA,NA,NA,NA,NA,NA,NA
105,"Saturday 4:00 PM - 4:30 PM, Other times by pre-arranged appointment",NA,NA,NA,NA,NA,NA
106,NA,NA,NA,NA,NA,NA,NA
107,NA,NA,NA,NA,NA,NA,NA
108,Saturday from 1:00 PM - 2:00 PM,NA,NA,NA,NA,NA,NA
109,1:00 PM to 1:30 PM,NA,NA,NA,NA,NA,NA
110,4:00 PM,NA,By appointment,By appointment,By appointment,By appointment,By appointment
111,1:00 PM to 2:00 PM,NA,7:00 PM to 7:30 PM (suspended from Memorial Day thru Labor Day),NA,NA,NA,NA
112,NA,NA,NA,NA,NA,NA,NA
113,NA,NA,NA,NA,NA,NA,NA
114,Saturdays after the 8:45 AM Mass and other times by appointment,NA,NA,NA,NA,NA,NA
115,4:00 - 4:30 PM,NA,NA,NA,NA,NA,NA
116,4:15 PM on Saturday evenings,NA,NA,NA,NA,NA,NA
117,NA,NA,NA,NA,NA,NA,NA
118,NA,NA,NA,NA,NA,NA,NA
119,Saturdays from 4:15 PM - 4:45 PM,NA,NA,NA,NA,NA,NA
120,4:00 PM to 5:00 PM,NA,NA,NA,NA,NA,NA
121,Saturdays following 9:00 AM Mass and from 4:30 PM - 5:00 PM,NA,NA,NA,NA,NA,NA
122,12:45 PM – 2:00 PM (or by Appointment),NA,NA,NA,NA,NA,NA
123,4:00 PM or by appointment,NA,NA,NA,NA,NA,NA
124,NA,NA,NA,NA,NA,NA,NA
125,"8:00 AM - 8:20 AM, 4:00 PM - 5:15 PM",NA,NA,NA,NA,NA,NA
126,NA,NA,NA,NA,NA,NA,NA
127,3:30 PM to 4:00 PM or by appointment,NA,After 9:00 AM Mass (Monday through Friday),After 9:00 AM Mass (Monday through Friday),After 9:00 AM Mass (Monday through Friday),After 9:00 AM Mass (Monday through Friday),After 9:00 AM Mass (Monday through Friday)
128,1:00 PM - 2:00 PM,NA,NA,NA,NA,NA,NA
129,4:15 PM - 5:00 PM,NA,NA,NA,NA,NA,NA
130,3:30 PM - 4:45 PM,NA,NA,NA,NA,NA,NA
131,12:00 PM - 1:00 PM,NA,NA,NA,NA,NA,NA
132,3:30 PM - 4:30 PM,NA,7:30 AM,7:30 AM,7:30 AM,7:30 AM,7:30 AM
133,NA,NA,NA,NA,NA,NA,NA
134,NA,NA,NA,NA,NA,NA,NA
135,5:30 PM,NA,NA,NA,NA,5:45 PM - 6:45 PM,NA
136,4:00 PM to 4:45 PM,10:00 AM - 12:00 PM,NA,NA,NA,NA,NA
137,4:00 PM - 4:45 PM,NA,NA,NA,NA,NA,NA
138,"30 minutes before every Mass, during Holy Hour, and upon request",NA,NA,NA,NA,NA,NA
139,"Saturday 4:15 PM - 5:00 PM or by appointment, call 973-325-0110",NA,NA,NA,NA,NA,NA
140,Saturday 4:00 PM - 4:30 PM in the Chapel,NA,NA,NA,NA,NA,NA
141,NA,NA,NA,NA,NA,NA,NA
142,"11:30 AM - 2:00 PM by appointment, 4:30 PM - 5:00 PM (First come, first served), whenever you need. Just ask!",NA,NA,NA,NA,NA,NA
143,Saturday: 4:00 PM - 5:00 PM or by appointment,NA,NA,NA,NA,NA,NA
144,NA,NA,NA,NA,NA,NA,NA
145,NA,NA,NA,NA,NA,NA,NA
146,6:30 PM,8:00 AM,NA,NA,NA,NA,NA
147,3:45 PM - 4:15 PM,NA,NA,NA,NA,NA,NA
148,See the bulletin,NA,NA,NA,NA,NA,NA
149,"8:30 AM - 9:00 AM, 4:00 PM - 4:50 PM",5:00 PM - 5:50 PM,NA,5:30 PM - 5:50 PM,NA,NA,NA
150,4:30 PM - 5:30 PM,"7:00 AM - 8:00 AM, 9:00 AM - 10:00 AM",7:15 AM - 7:45 AM,7:15 AM - 7:45 AM,7:15 AM - 7:45 AM,7:15 AM - 7:45 AM,7:15 AM - 7:45 AM
151,6:00 PM Saturday,NA,NA,NA,NA,NA,NA
152,"After daily Mass, Monday thru Thursday",NA,NA,NA,NA,NA,NA
153,NA,NA,NA,NA,NA,NA,NA
154,NA,NA,NA,NA,NA,NA,NA
155,4:30 PM - 4:50 PM,NA,NA,NA,NA,NA,NA
156,5:30 PM - 5:45 PM or by appointment,NA,NA,NA,NA,NA,NA
157,NA,NA,NA,NA,NA,NA,NA
158,4:00 PM - 4:30 PM,8:00 AM - 8:30 AM,NA,NA,NA,NA,NA
159,5:30 PM - 5:45 PM or by appointment,NA,NA,NA,NA,NA,NA
160,4:30 PM - 5:10 PM,NA,NA,4:30 PM - 5:10 PM,NA,4:30 PM - 5:10 PM,NA
161,"Saturday 3:15-3:45 PM, & by appt.",NA,NA,NA,NA,NA,NA
162,4:00 PM at St. Mary & after 6 PM Mass at St. Joseph,7:30 AM at St. Ann,NA,after 8:30 AM Mass at St. Mary,After the 6 PM Mass on Saturday,after 8:30 AM Mass at St. Mary,5:30 PM at St. Ann
163,NA,NA,NA,NA,NA,NA,NA
164,NA,NA,NA,NA,NA,NA,NA
165,NA,NA,NA,NA,NA,NA,NA
166,NA,NA,NA,NA,NA,NA,NA
167,"12:15 PM - 1:00 PM, 3:15 PM - 3:45 PM",NA,NA,NA,3:15 PM - 4:00 PM,NA,NA
168,Following First Friday after the 5 PM Mass at St. Maurice,After the 10 AM Mass at St. Maurice,NA,NA,NA,NA,NA
169,"8:00 AM - 8:20 AM, 3:30 PM - 3:50 PM","7:30 AM - 7:50 AM, 11:30 AM - 11:50 AM",8:00 AM - 8:20 AM,5:00 PM - 5:20 PM,8:00 AM - 8:20 AM,5:00 PM - 5:20 PM,8:00 AM - 8:20 AM
170,NA,NA,NA,NA,NA,NA,NA
171,NA,NA,NA,NA,NA,4:30 PM,NA
172,9:00 AM - 10:30 AM,NA,NA,7:50 AM - 8:20 AM,5:20 PM - 5:50 PM,7:50 AM - 8:20 AM,7:30 AM - 8:00 AM at St. Bridget
173,NA,NA,NA,NA,NA,NA,NA
174,3:45 PM - 4:15 PM,NA,NA,NA,NA,NA,11:20 AM - 11:50 AM
175,NA,NA,NA,NA,NA,NA,NA
176,NA,NA,NA,NA,NA,NA,NA
